№з/п,Повне найменування політичної партії,Дата реєстрації політичної партії(дд.мм.рррр),Номер свідоцтва про реєстрацію політичної партії,Адреса місцезнаходження керівних органів місцевої організації партії (юридична адреса)
84.,Партія «Соціалістична Україна»,23.12.2004,№ 103-п.п,"м. Київ, вул. Бажова, 9"
85.,Політична партія «Сила і Честь»,29.12.2004,№ 104-п.п.,"01014, м. Київ, вул. Курганівська, 3, літера «А», оф. 115"
86.,Політична Партія «Всеукраїнський патріотичний союз»,18.01.2005,№ 105-п.п.,"04070, м. Київ, вул. Нагорна, буд. 25-27, офіс № 76"
87.,Політична Партія «Третя Сила»,28.01.2005,№ 106-п.п.,"м. Київ, вул. Тельмана, 5"
88.,Партія «НАШ ДІМ УКРАЇНА»,16.02.2005,№ 107-п.п.,"Луганська обл., м. Алчевськ,вул. Ленінградська, буд. 3"
89.,«КМКС» Партія угорців України,17.02.2005,№ 108-п.п.,"Закарпатська обл., м. Ужгород, Православна набережна, 5"
90.,"Українська партія честі, боротьби з корупцією та організованою злочинністю",17.02.2005,№ 109-п.п.,"м. Київ, вул. Лютеранська, 20"
91.,Політична партія «Народна екологічна партія»,25.02.2005,№ 110-п.п.,"03150, м. Київ, вул. В. Васильківська, буд. 114, кв. 165. (В ЄРГФ місцезнаходження - м. Київ, вул. Тропініна, 4-б)"
92.,Республіканська Партія України,11.03.2005,№ 111-п.п.,"м. Київ, вул. Велика Васильківська, 64"
93.,Політична партія «УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка»,14.03.2005,№ 112-п.п.,"01034, м. Київ, вул. Ярославів Вал,буд, 8, літера Б."
94.,Політична партія «Нова демократія»,14.03.2005,№ 113-п.п.,"м. Київ, бульвар Лесі Українки, 13,кв. 16"
95.,ПОЛІТИЧНА ПАРТІЯ «СИЛА ПРАВА»,18.03.2005,№ 114-п.п.,"01024, м.Київ, вул. Шовковична, буд. 36/7, оф. 13"
96.,Політична партія «Наша Україна»,22.03.2005,№ 115-п.п.,"м. Київ, вул. Спаська, 37"
97.,Громадянська партія «ПОРА»,23.03.2005,№ 127-п.п.,"м. Київ, вул. Десятинна, 1/3"
98.,Політична партія «Громадянська позиція»,24.03.2005,№ 116-п.п.,"м. Київ, вул. Дмитрівська, буд.45, кв. 20"
99.,Демократична партія угорців України,24.03.2005,№ 117-п.п.,"90200, Закарпатська обл., м. Берегове, вул. Ілона Зріні, буд. 13(В ЄРГФ місцезнаходження –Закарпатська обл., м. Берегове,вул. Сечені 59 Б)"
